,Word,Translation,Part_of_Speech
125,still,"ainda, todavia",adverb
126,to try,"tentar, experimentar",verb
127,in,"em, dentro",adverb
128,as,"tanto, como",adverb
129,last,último,number
130,to ask,"perguntar, pedir",verb
131,to need,"precisar, necessitar",verb
132,too,também,adverb
133,to feel,sentir,verb
134,three,três,number
135,when,quando,adverb
136,state,estado,noun
137,never,nunca,adverb
138,to become,se tornar,verb
139,between,entre,preposition
140,high,alto,adjective
141,really,realmente,adverb
142,something,"algo, alguma coisa",pronoun
143,most,a maioria de,adverb
144,another,outro,determiner
145,much,muitoa,determiner
146,family,família,noun
147,own,próprio,determiner
148,out,"fora de, para fora",preposition
149,to leave,"sair, partir",verb
150,to put,"colocar, por",verb
151,old,velho,adjective
152,while,enquanto,conjunction
153,to mean,significar,verb
154,on,sobre,adverb
155,to keep,"ficar, manter, guardar",verb
156,student,estudante,noun
157,why,por quê,adverb
158,to let,"permitir, deixar",verb
159,great,"ótimo, grande",adjective
160,same,mesmo,determiner
161,big,grande,adjective
162,group,grupo,noun
163,to begin,"começar, iniciar",verb
164,to seem,parecer,verb
165,country,país,noun
166,to help,ajudar,verb
167,to talk,"falar, conversar",verb
168,where,onde,conjunction
169,to turn,"virar, transformar",verb
170,problem,problema,noun
171,every,todo,article
172,to start,"começar, iniciar",verb
173,hand,mão,noun
174,might,talvéz,verb modal
175,American,americano,adjective
176,to show,"mostrar, exibir",verb
177,part,"parte, porção",noun
178,about,sobre,adverb
179,against,contra,preposition
180,place,lugar,noun
181,over,"por cima, em cima",adverb
182,such,"tal, assim",determiner
183,again,"de novo, novamente",adverb
184,few,pouco,determiner
185,case,caso,noun
186,most,a maioria de,determiner
187,week,semana,noun
188,company,empresa,noun
189,where,onde,adverb
190,system,sistema,noun
191,each,"cada, toda",determiner
192,right,"bem, logo",adverb
193,program,programa,noun
194,to hear,"ouvir, escutar",verb
195,so,então,conjunction
196,question,pergunta,noun
197,during,durante,preposition
198,work,trabalho,noun
199,to play,"jogar, brincar, tocar",verb
200,government,governo,noun
201,to run,"correr, fugir, se candidatar",verb
202,small,pequeno,adjective
203,number,número,noun
204,off,fora,adverb
205,always,sempre,adverb
206,to move,"mover, mexer, mudar",verb
207,to like,gostar,verb
208,night,noite,noun
209,to live,"viver, morar",verb
210,Mr.,senhor,noun
211,point,ponto,noun
212,to believe,"acreditar, achar",verb
213,to hold,"segurar, manter",verb
214,today,hoje,adverb
215,to bring,"trazer, levar",verb
216,to happen,acontecer,verb
217,next,próximo,number
218,without,sem,preposition
219,before,antes,preposition
220,large,grande,adjective
221,all,todo,adverb
222,million,milhão,number
223,must,dever,verb modal
224,home,"casa, lar",noun
225,under,"debaixo, embaixo",preposition
226,water,água,noun
227,room,"quarto, espaço",noun
228,to write,escrever,verb
229,mother,mãe,noun
230,area,área,noun
231,national,nacional,adjective
232,money,dinheiro,noun
233,story,"história, estória",noun
234,young,jovem,adjective
235,fact,fato,noun
236,month,mês,noun
237,different,diferente,adjective
238,lot,muito,noun
239,right,direito,noun
240,study,estudo,noun
241,book,livro,noun
242,eye,olho,noun
243,job,"trabalho, emprego",noun
244,word,palavra,noun
245,though,embora,conjunction
246,business,"negócio, empresa",noun
247,issue,assunto,noun
248,side,lado,noun
249,kind,tipo,noun
250,four,quatro,number
251,head,cabeça,noun
252,far,longe,adverb
253,black,"negro, preto",adjective
254,long,comprido,adjective
255,both,ambos,determiner
256,little,pequeno,adjective
257,house,casa,noun
258,yes,sim,u
259,after,depois,conjunction
260,since,desde,conjunction
261,long,tempo,adverb
262,to provide,"fornecer, proporcionar",verb
263,service,serviço,noun
264,around,"por volta de, ao redor de",preposition
265,friend,amigo,noun
266,important,importante,adjective
267,father,pai,noun
268,to sit,sentar,verb
269,away,longe,adverb
270,until,até,conjunction
271,power,"poder, força",noun
272,hour,hora,noun
273,game,"jogo, brincadeira",noun
274,often,frequentemente,adverb
275,yet,ainda,adverb
276,line,"linha, fila",noun
277,political,político,adjective
278,end,"fim, término",noun
279,among,"entre, dentre",preposition
280,ever,"nunca, já",adverb
281,to stand,ficar em pé,verb
282,bad,"ruim, mal",adjective
283,to lose,perder,verb
284,however,"contudo, porém, entretanto",adverb
285,member,membro,noun
286,to pay,pagar,verb
287,law,lei,noun
288,to meet,"conhecer, encontrar",verb
289,car,carro,noun
290,city,cidade,noun
291,almost,quase,adverb
292,to include,incluir,verb
293,to continue,"continuar, insistir",verb
294,to set,"pôr, colocar",verb
295,later,depois,adverb
296,community,comunidade,noun
297,much,muito,adverb
298,name,nome,noun
299,five,cinco,number
300,once,uma vez,adverb
301,white,branco,adjective
302,least,o menos,adverb
303,president,presidente,noun
304,to learn,aprender,verb
305,real,real,adjective
306,to change,"trocar, mudar, alterar",verb
307,team,"time, equipe",noun
308,minute,minuto,noun
309,best,o melhor,adjective
310,several,"vários, alguns",determiner
311,idea,ideia,noun
312,kid,"garoto, criança, moleque",noun
313,body,corpo,noun
314,information,informação,noun
315,nothing,nada,pronoun
316,ago,há…tempo,adverb
317,right,direito,adjective
318,to lead,"liderar, guiar",verb
319,social,social,adjective
320,to understand,"compreender, entender",verb
321,whether,se,conjunction
322,back,costas,noun
323,to watch,"assistir, olhar",verb
324,together,junto,adverb
325,to follow,"seguir, perseguir",verb
326,around,"por volta de, aproximadamente",adverb
327,parent,pai,noun
328,only,único,adjective
329,to stop,"parar, terminar",verb
330,face,"face, cara",noun
331,anything,qualquer coisa,pronoun
332,to create,criar,verb
333,public,público,adjective
334,already,já,adverb
335,to speak,"falar, dizer",verb
336,others,outros,noun
337,to read,ler,verb
338,level,nível,noun
339,to allow,permitir,verb
340,to add,adicionar,verb
341,office,escritório,noun
342,to spend,"gastar, passar…tempo",verb
343,door,porta,noun
344,health,saúde,noun
345,person,pessoa,noun
346,art,arte,noun
347,sure,certo,adjective
348,such,tão,preposition
349,war,guerra,noun
350,history,história,noun
351,party,festa,noun
352,within,dentro,preposition
353,to grow,crescer,verb
354,result,resultado,noun
355,to open,abrir,verb
356,change,"trocar, mudar, alterar",noun
357,morning,manhã,noun
358,to walk,"andar, caminhar",verb
359,reason,"razão, motivo",noun
360,low,baixo,adjective
361,to win,"ganhar, vencer",verb
362,research,pesquisa,noun
363,girl,"menina, moça",noun
364,guy,"menino, moço",noun
365,early,cedo,adjective
366,food,"comida, alimento",noun
367,before,antes,conjunction
368,moment,momento,noun
369,himself,"se, ele mesmo",pronoun
370,air,ar,noun
371,teacher,professor,noun
372,force,força,noun
373,to offer,oferecer,verb
374,enough,bastante,adverb
375,both,ambos,adverb
376,education,educação,noun
377,across,"através de, do outro lado",preposition
378,although,embora,conjunction
379,to remember,lembrar,verb
380,foot,pé,noun
381,second,segundo,number
382,boy,menino,noun
383,maybe,"talvez, possivelmente",adverb
384,toward,em direção a,preposition
385,able,capaz,adjective
386,age,idade,noun
387,off,"fora, fora de",preposition
388,policy,política,noun
389,everything,tudo,pronoun
390,to love,amar,verb
391,process,processo,noun
392,music,música,noun
393,including,incluindo,preposition
394,to consider,considerar,verb
395,to appear,"aparecer, surgir",verb
396,actually,na verdade,adverb
397,to buy,comprar,verb
398,probably,provavelmente,adverb
399,human,humano,adjective
400,to wait,esperar,verb
401,to serve,servir,verb
402,market,mercado,noun
403,to die,morrer,verb
404,to send,mandar,verb
405,to expect,esperar,verb
406,home,casa,adverb
407,sense,sentido,noun
408,to build,construir,verb
409,to stay,ficar,verb
410,to fall,cair,verb
411,oh,oh,u
412,nation,nação,noun
413,plan,plano,noun
414,to cut,cortar,verb
415,college,universidade,noun
416,interest,interesse,noun
417,death,morte,noun
418,course,curso,adverb
419,someone,alguém,pronoun
420,experience,experiência ,noun
421,behind,atrás,preposition
422,to reach,alcançar,verb
423,local,local,adjective
424,to kill,matar,verb
425,six,seis,number
426,to remain,"ficar, permanecer",verb
427,effect,efeito,noun
428,use,uso,noun
429,yeah,sim,u
430,to suggest,sugerir,verb
431,class,"classe, aula",noun
432,control,controle,noun
433,to raise,"levantar, elevar, aumentar",verb
434,care,cuidado,noun
435,perhaps,talvez,adverb
436,little,pouco,adverb
437,late,"atrasado, tarde",adjective
438,hard,"duro, difícil",adjective
439,field,campo,noun
440,else,outro,adverb
441,to pass,"passar, aprovar",verb
442,former,"antigo, anterior",determiner
443,to sell,vender,verb
444,major,"maior, principal",adjective
445,sometimes,algumas vezes,adverb
446,to require,"requerer, exigir",verb
447,along,ao longo de,preposition
448,development,desenvolvimento,noun
449,themselves,eles mesmos,pronoun
450,to report,"reportar, relatar",verb
451,role,papel,noun
452,better,melhor que,adjective
453,economic,económico,adjective
454,effort,esforço,noun
455,up,para cima,preposition
456,to decide,decidir,verb
457,rate,"taxa, proporção",noun
458,strong,forte,adjective
459,possible,possível,adjective
460,heart,coração,noun
461,drug,droga,noun
462,show,"show, performance",noun
463,leader,líder,noun
464,light,luz,noun
465,voice,voz,noun
466,wife,"esposa, mulher",noun
467,whole,"inteiro, completo",adjective
468,police,polícia,noun
469,mind,mente,noun
470,finally,finalmente,adverb
471,to pull,puxar,verb
472,to return,"voltar, devolver",verb
473,free,"livre, gratis",adjective
474,military,militar,adjective
475,price,preço,noun
476,report,relatório,noun
477,less,menos,adverb
478,according,de acordo com,preposition
479,decision,decisão,noun
480,to explain,explicar,verb
481,son,filho,noun
482,to hope,esperar,verb
483,even,mesmo,conjunction
484,to develop,desenvolver,verb
485,view,vista,noun
486,relationship,"relação, relacionamento",noun
487,to carry,carregar,verb
488,town,"cidade, vila",noun
489,road,"estrada, rua",noun
490,to drive,"dirigir, pilotar",verb
491,arm,braço,noun
492,true ,"verdade, verdadeiro",adjective
493,federal,federal,adjective
494,to break,quebrar,verb
495,better,melhor que,adverb
496,difference,diferencia,noun
497,to thank,agradecer,verb
498,to receive,receber,verb
499,value,valor,noun
500,international,internacional,adjective
501,building,prédio,noun
502,action,ação,noun
503,full,cheio,adjective
504,model,modelo,noun
505,to join,"juntar, unir",verb
506,season,estação,noun
507,society,sociedade,noun
508,because,porque,preposition
509,tax,"taxa, imposto",noun
510,director,diretor,noun
511,early,cedo,adverb
512,position,posição,noun
513,player,jogador,noun
514,to agree,concordar,verb
515,especially,especialmente,adverb
516,record,"ficha, registro, disco, relatório",noun
517,to pick,"escolher, colher",verb
518,to wear,"usar, vestir",verb
519,paper,papel,noun
520,special,especial,adjective
521,space,espaço,noun
522,ground,chão,noun
523,form,forma,noun
524,to support,"apoiar, suportar, sustentar",verb
525,event,evento,noun
526,official,oficial,noun
527,whose,de quem,determiner
528,matter,"matéria, substância",noun
529,everyone,todo mundo,pronoun
530,center,centro,noun
531,couple,casal,noun
532,site,"sítio, lugar, local",noun
533,to end,"terminar, acabar",verb
534,project,projeto,noun
535,to hit,"acertar, atingir, bater, colidir ",verb
536,to base,basear,verb
537,activity,atividade,noun
538,star,estrela,noun
539,table,"mesa, tabela",noun
540,need,necessidade,noun
541,court,"quadra, tribunal",noun
542,to produce,produzir,verb
543,to eat,comer,verb
544,American,americano,noun
545,to teach,ensinar,verb
546,oil,"óleo, petróleo, azeite",noun
547,half,metade,determiner
548,situation,situação,noun
549,easy,fácil,adjective
550,cost,custo,noun
551,industry,indústria,noun
552,figure,figura,noun
553,to face,"enfrentar, encarar",verb
554,street,rua,noun
555,image,imagem,noun
556,itself,se mesmo,pronoun
557,phone,telefone,noun
558,either,ou…ou,adverb
559,data,data,noun
560,to cover,cobrir,verb
561,quite,bastante,adverb
562,picture,"foto, retrato, quadro",noun
563,clear,claro,adjective
564,practice,prática,noun
565,piece,pedaço,noun
566,land,"terra, terreno",noun
567,recent,recente,adjective
568,to describe,descrever,verb
569,product,produto,noun
570,doctor,médico,noun
571,wall,"muro, parede",noun
572,patient,paciente,noun
573,worker,trabalhador,noun
574,news,notícia,noun
575,test,"teste, exame",noun
576,movie,filme,noun
577,certain,certo,adjective
578,north,norte,noun
579,love,amor,noun
580,personal,pessoal,adjective
581,open,aberto,adjective
582,support,"apoio, suporte",noun
583,simply,simplesmente,adverb
584,third,terceiro,number
585,technology,tecnologia,noun
586,to catch,"pegar, capturar",verb
587,step,"passo, degrau, fase, etapa",noun
588,baby,"neném, bebé",noun
589,computer,computador,noun
590,type,tipo,noun
591,attention,atenção,noun
592,to draw,"desenhar, atrair",verb
593,film,filme,noun
594,Republican,republicano,noun
595,tree,árvore,noun
596,source,fonte,noun
597,red,vermelho,adjective
598,nearly,"quase, aproximadamente",adverb
599,organization,organização,noun
600,to choose,escolher,verb
601,to cause,causar,verb
602,hair,cabelo,noun
603,look,olhar,noun
604,to point,apontar,verb
605,century,século,noun
606,evidence,"prova, evidência",noun
607,window,janela,noun
608,difficult,difícil,adjective
609,to listen,"escutar, ouvir",verb
610,soon,"em breve, daqui a pouco",adverb
611,culture,cultura,noun
612,billion,bilhão,number
613,chance,"chance, oportunidade, sorte",noun
614,brother,irmão,noun
615,energy,energia,noun
616,period,período,noun
617,course,curso,noun
618,summer,verão,noun
619,less,menos,determiner
620,to realize,"dar-se conta, realizar",verb
621,hundred,cem,number
622,available,disponível,adjective
623,plant,planta,noun
624,likely,provável,adjective
625,opportunity,oportunidade,noun
626,term,termo,noun
627,short,"curto, baixo",adjective
628,letter,"letra, carta",noun
629,condition,condição,noun
630,choice,escolha,noun
631,to place,"colocar, pôr",verb
632,single,"único, solteiro",adjective
633,rule,regra,noun
634,daughter,filha,noun
635,administration,administração,noun
636,south,sul,noun
637,husband,"marido, esposo",noun
638,Congress,congresso,noun
639,floor,chão,noun
640,campaign,campanha,noun
641,material,material,noun
642,population,população,noun
643,well,bem,preposition
644,call,chamado,noun
645,economy,economia,noun
646,medical,médico,adjective
647,hospital,hospital,noun
648,church,igreja,noun
649,to close,"fechar, encerrar",verb
650,thousand,mil,number
651,risk,risco,noun
652,current,"atual, corrente",adjective
653,fire,"fogo, incêndio",noun
654,future,futuro,noun
655,wrong,errado,adjective
656,to involve,envolver,verb
657,defense,defesa,noun
658,anyone,qualquer um,pronoun
659,to increase,aumentar,verb
660,security,segurança,noun
661,bank,banco,noun
662,myself,eu mesmo,pronoun
663,certainly,"com certeza, certamente",adverb
664,west,oeste,noun
665,sport,esporte,noun
666,board,"tabuleiro, conselho",noun
667,to seek,"procurar, buscar",verb
668,per,por,preposition
669,subject,sujeito,noun
670,officer,oficial,noun
671,private,"particular, privativo",adjective
672,rest,descanso,noun
673,behavior,comportamento,noun
674,to deal,"lidar com, tratar, negociar",verb
675,performance,performance,noun
676,to fight,"lutar, brigar",verb
677,to throw,"jogar, tacar",verb
678,top,"topo, pico",noun
679,quickly,rapidamente,adverb
680,past,passado,adjective
681,goal,"meta, gol",noun
682,second,segundo,noun
683,bed,cama,noun
684,order,ordem ,noun
685,author,autor,noun
686,to fill,"encher, preencher",verb
687,to represent,representar,verb
688,to focus,enfocar,verb
689,foreign,estrangeiro,adjective
690,to drop,"deixar cair, soltar",verb
691,to plan,planejar,verb
692,blood,sangue,noun
693,upon,em cima,preposition
694,agency,agência,noun
695,to push,empurrar,verb
696,nature,natureza,noun
697,color,cor,noun
698,no,nenhum,adverb
699,recently,recentemente,adverb
700,store,loja,noun
701,to reduce,reduzir,verb
702,sound,som,noun
703,to note,"perceber, notar, anotar",verb
704,fine,"fino, bom, excelente",adjective
705,before,antes de,adverb
706,near,perto,preposition
707,movement,movimento,noun
708,page,página,noun
709,to enter,entrar,verb
710,to share,compartilhar,verb
711,than,do que,preposition
712,common,comum,adjective
713,poor,pobre,adjective
714,other,outro,pronoun
715,natural,natural,adjective
716,race,"corrida, raça",noun
717,concern,preocupação,noun
718,series,série,noun
719,significant,significativo,adjective
720,similar,"similar, parecido",adjective
721,hot,quente,adjective
722,language,"língua, idioma",noun
723,each,cada um,pronoun
724,usually,normalmente,adverb
725,response,resposta,noun
726,dead,morto,adjective
727,to rise,levantar,verb
728,animal,animal,noun
729,factor,fator,noun
730,decade,década,noun
731,article,"artigo, cláusula",noun
732,to shoot,atirar,verb
733,east,leste ,noun
734,to save,"salvar, economizar",verb
735,seven,sete,number
736,artist,artista,noun
737,away,longe,preposition
738,scene,"cena, cenário",noun
739,stock,ação,noun
740,career,carreira,noun
741,despite,a pesar de,preposition
742,central,central,adjective
743,eight,oito,number
744,thus,"assim, deste modo",adverb
745,treatment,tratamento,noun
746,beyond,além de,preposition
747,happy,feliz,adjective
748,exactly,exatamente,adverb
749,to protect,proteger,verb
750,approach,abordagem,noun
751,to lie,mentir,verb
752,size,tamanho,noun
753,dog,cachorro,noun
754,fund,fundo,noun
755,serious,sério,adjective
756,to occur,acontecer,verb
757,media,mídia,noun
758,ready,"proto, preparado",adjective
759,sign,"placa, sinal",noun
760,thought,pensamento,noun
761,list,lista,noun
762,individual,individual,noun
763,simple,simples,adjective
764,quality,qualidade,noun
765,pressure,pressão,noun
766,to accept,aceitar,verb
767,answer,resposta,noun
768,hard,"difícil, forte",adverb
769,resource,recurso,noun
770,to identify,identificar,verb
771,left,esquerdo,adjective
772,meeting,"encontro, reunião",noun
773,to determine,determinar,verb
774,to prepare,preparar,verb
775,disease,doença,noun
776,whatever,qualquer coisa,determiner
777,success,sucesso,noun
778,to argue,"argumentar, brigar…verbalmente",verb
779,cup,copo,noun
780,particularly,particularmente,adverb
781,amount,"montante, valor",noun
782,ability,abilidade,noun
783,staff,pessoal,noun
784,to recognize,reconhecer,verb
785,to indicate,"indicar, apontar",verb
786,character,caráter ,noun
787,growth,crescimento,noun
788,loss,perda,noun
789,degree,grau,noun
790,to wonder,se perguntar,verb
791,attack,ataque,noun
792,herself,ela mesmo,pronoun
793,region,região,noun
794,television,televisão,noun
795,box,caixa,noun
796,TV,televisão,noun
797,training,treinamento,noun
798,pretty,bonito,adverb
799,trade,"comércio, negócio",noun
800,deal,"negócio, acordo",noun
801,election,eleição,noun
802,everybody,todo mundo,pronoun
803,physical,físico,adjective
804,to lay,"deitar, colocar, pôr",verb
805,general,geral,adjective
806,feeling,sentimento,noun
807,standard,padrão,noun
808,bill,conta,noun
809,message,mensagem,noun
810,to fail,"falhar, fracassar",verb
811,outside,lá fora,preposition
812,to arrive,chegar,verb
813,analysis,análise,noun
814,benefit,benefício,noun
815,to name,nomear,verb
816,sex,sexo,noun
817,forward,para frente,adverb
818,lawyer,advodago,noun
819,to present,apresentar,verb
820,section,"seção, parte, porção",noun
821,environmental,ambiental,adjective
822,glass,vidro,noun
823,to answer,responder,verb
824,skill,habilidade,noun
825,sister,irmã,noun
826,PM,pm,adverb
827,professor,professor,noun
828,operation,operação,noun
829,financial,financeiro,adjective
830,crime,crime,noun
831,stage,"estágio, etapa",noun
832,ok,ok,adverb
833,to compare,comparar,verb
834,authority,autoridade,noun
835,to miss,"perder, sentir falta",verb
836,design,desenho,noun
837,sort,tipo,noun
838,one,"um, uma",noun
839,to act,agir,verb
840,ten,dez,number
841,knowledge,conhecimento,noun
842,gun,"arma, pistola",noun
843,station,estação,noun
844,blue,azul,adjective
845,to state,"declarar, dizer",verb
846,strategy,estratégia,noun
847,little,pequeno,determiner
848,clearly,claramente,adverb
849,to discuss,"debater, discutir",verb
850,indeed,na verdade,adverb
851,to force,forçar,verb
852,truth,verdade,noun
853,song,"canção, uma música",noun
854,example,exemplo,noun
855,democratic,democrático,adjective
856,to check,"verificar, checar",verb
857,environment,meio ambiente,noun
858,leg,perna,noun
859,dark,escuro,adjective
860,public,público,noun
861,various,vários,adjective
862,rather,em vez de,adverb
863,to laugh,rir,verb
864,to guess,adivinhar,verb
865,executive,executivo,noun
866,set,"conjunto, série",noun
867,to study,estudar,verb
868,to prove,"comprovar, provar",verb
869,to hang,"pendurar, enforcar, suspender",verb
870,entire,inteiro,adjective
871,rock,pedra,noun
872,to design,"desenhar, projetar",verb
873,enough,bastante,determiner
874,to forget,esquecer,verb
875,since,desde,preposition
876,to claim,"afirmar, alegar",verb
877,note,nota,noun
878,to remove,remover,verb
879,manager,gerente,noun
880,help,ajudar,noun
881,close,perto,adjective
882,to sound,soar,verb
883,to enjoy,"curtir, gostar, aproveitar",verb
884,network,rede,noun
885,legal,legal,adjective
886,religious,religioso,adjective
887,cold,frio,adjective
888,to form,formar,verb
889,final,final,adjective
890,main,principal,adjective
891,science,ciência,noun
892,green,verde,adjective
893,memory,memória,noun
894,card,"carão, ficha",noun
895,above,"acima de, em cima de",preposition
896,seat,"assento, cadeira",noun
897,cell,célula,noun
898,to establish,estabelecer,verb
899,nice,"amigável, legal",adjective
900,trial,"julgamento, processo",noun
901,expert,"especialista, perito",noun
902,that,"esse, aquele, que",adverb
903,spring,"primavera, mola, nascente",noun
904,firm,firme,noun
905,Democrat,democrata,noun
906,radio,rádio,noun
907,to visit,visitar,verb
908,management,gerência,noun
909,to care,"importar-se, cuidar",verb
910,to avoid,evitar,verb
911,to imagine,imaginar,verb
912,tonight,hoje à noite,adverb
913,huge,enorme,adjective
914,ball,bola,noun
915,no,não,u
916,close,perto,adverb
917,to finish,"terminar, acabar",verb
918,yourself,se mesmo,pronoun
919,talk,"falar, conversar",noun
920,theory,teoria,noun
921,impact,impacto,noun
922,to respond,"responder, reagir",verb
923,statement,"declaração, afirmação",noun
924,to maintain,"manter, ficar",verb
925,charge,carga,noun
926,popular,popular,adjective
927,traditional,tradicional,adjective
928,onto,para cima de,preposition
929,to reveal,revelar,verb
930,direction,direção,noun
931,weapon,"arma, armamento",noun
932,employee,empregado,noun
933,cultural,cultural,adjective
934,to contain,conter,verb
935,peace,paz,noun
936,to head,"liderar, dirigir",verb
937,to control,controlar,verb
938,base,base,noun
939,pain,dor,noun
940,to apply,aplicar,verb
941,play,peça,noun
942,measure,medida,noun
943,wide,"amplo, largo",adjective
944,to shake,"sacudir, balançar",verb
945,to fly,voar,verb
946,interview,entrevista,noun
947,to manage,gerenciar,verb
948,chair,cadeira,noun
949,fish,peixe,noun
950,particular,particular,adjective
951,camera,cámera,noun
952,structure,estrutura,noun
953,politics,a política,noun
954,to perform,"atuar, cumprir",verb
955,bit,um pouco,noun
956,weight,peso,noun
957,suddenly,de repente,adverb
958,to discover,descobrir,verb
959,candidate,candidato,noun
960,top,"top, melhor",adjective
961,production,produção,noun
962,to treat,tratar,verb
963,trip,viagem,noun
964,evening,"tarde, tardinha",noun
965,to affect,afetar,verb
966,inside,dentro,preposition
967,conference,conferência,noun
968,unit,"unidade, ",noun
969,best,o melhor,adverb
970,style,estilo,noun
971,adult,adulto,noun
972,to worry,preocupar-se,verb
973,range,"alcance, extensão, variedade",noun
974,to mention,mencionar,verb
975,rather,"em vez de, um tatnto",adverb
976,far,longe,adjective
977,deep,profundo,adjective
978,past,passado,noun
979,edge,"borda, beira",noun
980,individual,individual,adjective
981,specific,específico,adjective
982,writer,"autor, escritor",noun
983,trouble,"problema, dificuldade, encrenca",noun
984,necessary,necessário,adjective
985,throughout,ao longo de,preposition
986,challenge,desafio,noun
987,fear,medo,noun
988,shoulder,hombro,noun
989,institution,instituição,noun
990,middle,meio,adjective
991,sea,mar,noun
992,dream,sonho,noun
993,bar,"bar, barra",noun
994,beautiful,"lindo, bonito, belo",adjective
995,property,"propriedade, patrimônio",noun
996,instead,em vez de,adverb
997,to improve,melhorar,verb
998,stuff,"coisas, material",noun
999,detail,detalhe ,noun
1000,method,método,noun
1001,to sign,assinar,verb
1002,somebody,alguém,pronoun
1003,magazine,revista,noun
1004,hotel,hotel,noun
1005,soldier,soldado,noun
1006,to reflect,refletir,verb
1007,heavy,pesado,adjective
1008,sexual,sexual,adjective
1009,cause,causa,noun
1010,bag,"bolsa, saco",noun
1011,heat,calor,noun
1012,fall,queda,noun
1013,marriage,casamento,noun
1014,tough,"difícil, duro",adjective
1015,to sing,cantar,verb
1016,surface,superfície,noun
1017,purpose,propósito,noun
1018,to exist,existir,verb
1019,pattern,padrão,noun
1020,whom,a quem,pronoun
1021,skin,pele,noun
1022,agent,agente,noun
1023,owner,"proprietário, dono",noun
1024,machine,máquina,noun
1025,gas,"gás, gasolina",noun
1026,down,"abaixo, para baixo",preposition
1027,ahead,"adiante, à frente ",adverb
1028,generation,geração,noun
1029,commercial,comercial,adjective
1030,to address,"endereçar, discursar",verb
1031,cancer,cáncer,noun
1032,to test,"examinar, verifica, provar",verb
1033,item,item,noun
1034,reality,realidade,noun
1035,coach,"treinador, técnico",noun
1036,to step,"pisar, dar um passo, andar",verb
1037,Mrs,senhora,noun
1038,yard,"jardim, quintal",noun
1039,to beat,"vencer, derrotar",verb
